projetos,stars,stars_today,forks,language
        Omost,"2,956","1,692",175,Python
        gpt-computer-assistant,502,108,39,Python
        ChatTTS-ui,"2,187",609,221,Python
        docker-unlock,256,124,24,Shell
        marker,"10,286",580,497,Python
        immich,"34,784",264,"1,645",TypeScript
        ToonCrafter,"2,766","1,345",204,Python
        Scrapegraph-ai,"9,917",247,758,Python
        OSX-KVM,"18,917",158,"1,768",Python
        lazy.nvim,"12,248",26,290,Lua
        podcastr,184,37,52,TypeScript
        Capstan-Drive,116,31,10,Nan
        syncthing,"60,506",116,"4,059",Go
        dotnet-starter-kit,"4,175",44,"1,301",C#
        soybean-admin,"8,291",170,"1,483",TypeScript
        ios_rule_script,"15,652",49,"2,504",JavaScript
        revanced-patches,"1,739",109,210,Kotlin
        webx,895,420,90,Rust
        KernelSU,"8,718",72,"1,400",Kotlin
        wuwa-mod,80,23,6,Batchfile
        LLMs-from-scratch,"17,583",122,"1,636",Jupyter Notebook
        project-based-learning,"174,905",165,"23,044",Nan
        ChatTTS,"17,911","1,840","1,869",Jupyter Notebook
        IsaacLab,963,56,309,Python
        imgui,"56,729",46,"9,813",C++
