projetos,linguagem,estrelas,forks,estrelas_diarias
Omost,Python,"2,954",174,"1,692 stars today"
gpt-computer-assistant,Python,501,39,108 stars today
ChatTTS-ui,Python,"2,187",221,609 stars today
docker-unlock,Shell,256,24,124 stars today
marker,Python,"10,285",497,580 stars today
immich,TypeScript,"34,783","1,645",264 stars today
ToonCrafter,Python,"2,766",204,"1,345 stars today"
Scrapegraph-ai,Python,"9,916",758,247 stars today
OSX-KVM,Python,"18,917","1,768",158 stars today
lazy.nvim,Lua,"12,248",290,26 stars today
podcastr,TypeScript,184,52,37 stars today
Capstan-Drive,Nan,115,10,31 stars today
syncthing,Go,"60,505","4,059",77 stars today
dotnet-starter-kit,C#,"4,175","1,301",44 stars today
soybean-admin,TypeScript,"8,291","1,483",170 stars today
