projetos,linguagem,estrelas,forks,estrelas_diarias
Omost,Python,4119,233,1697
gpt-computer-assistant,Python,1295,107,138
Scrapegraph-ai,Python,10090,772,248
webx,Rust,1086,101,420
ToonCrafter,Python,3159,253,1360
IsaacLab,Python,1054,316,39
generative-ai-for-beginners,Jupyter Notebook,44780,25046,114
LLMs-from-scratch,Jupyter Notebook,17922,1667,238
MiniCPM-V,Python,5210,370,517
marker,Python,10693,518,576
Rust,Rust,20813,2028,40
Python-100-Days,Python,151082,51460,99
nuclei-templates,JavaScript,8217,2371,10
my-tv,C,27331,3070,150
HowToCook,Dockerfile,60658,8283,33
